no,username,testId,topic,Favorite Class,School Improvement,Questions,School Routine,Project,ANIMALS,COMMUNICATIONS,DIRECTIONS,POP_CULTURE,THEATER,TRAVEL,CAREERS,SCIENCE,
3445,C3166626,2356054,ANIMALS,0.05768231693873744,0.08743205125380851,0.05985682847420326,0.036284829569442165,0.049133293436041434,0.13807952202292187,0.06898820255072091,0.030701365631454744,0.07082178391007872,0.0571024344752905,0.06105513639783977,0.03658590831320537,0.039339953808160605,
3446,C3166626,2356054,COMMUNICATIONS,0.032158418271777685,0.06679442863056527,0.025370167752554833,0.024551112117980202,0.024631759119859705,0.02233588523195371,0.11281233473639604,0.017327307632226483,0.09341596352009111,0.04284852947739361,0.022293803337156057,0.015238221415079092,0.02049227992697772,
3447,C3166626,2356054,DIRECTIONS,0.022612506584684194,0.026812129307898766,0.052955355014136514,0.023683462281043746,0.022744657826640938,0.024403556314345043,0.03172009276755413,0.11875246282621844,0.025297291145473598,0.02505199281810533,0.02126781127810491,0.025415181843418296,0.010760864206195361,
3448,C3204144,2389725,COMMUNICATIONS,0.03252117427915504,0.047988239882240026,0.02789668105032314,0.03086500682205675,0.02366789175846458,0.03170412443226438,0.07866755263049784,0.022058451809485,0.04632403458471633,0.04311758510561044,0.0508892785894464,0.01716284631117702,0.024309516952084814,
3449,C3204144,2389725,POP_CULTURE,0.0661929316254241,0.08594829610947875,0.03817243189267603,0.03378738898734078,0.04169007469290138,0.04091366857030319,0.05443998985729102,0.028467745643729954,0.09478883979091747,0.0648620370006982,0.06040559900585411,0.020735838725385484,0.030188620406614658,
3450,C3204144,2389725,ANIMALS,0.07284325762952563,0.08056702049965082,0.053316468862379444,0.028782507968548362,0.04863167301744209,0.15344157609837045,0.055584026524409885,0.03562629614203207,0.06574017019398437,0.07320711675690937,0.08460904521428128,0.022588601870920124,0.029922658056014767,
3451,C3226132,2409675,ANIMALS,0.037765382789828966,0.04528112511288129,0.02310329379897734,0.014011623700771293,0.019876758334106938,0.05082102498255304,0.022445576683701434,0.012292281164213648,0.02935901049854321,0.013550457474290714,0.023100754417683486,0.017105843447301462,0.009618668265146471,
3452,C3226132,2409675,COMMUNICATIONS,0.034848390421471816,0.03513971917344446,0.012850083608245796,0.020450987642354375,0.015901071071527415,0.016771318198454552,0.042063681872616124,0.01725174483824292,0.029657337230651212,0.028692391314310638,0.025495869907865325,0.0087406069592613,0.029071807913011997,
3453,C3226132,2409675,POP_CULTURE,0.07994386829807287,0.08556808301264583,0.03389807196078679,0.027016184112405743,0.03392143373092191,0.04040859400608817,0.054786289756271755,0.02012285529446594,0.07198069629346647,0.043121802713864905,0.054659196306744415,0.018340370270617714,0.032441129041047484,
3454,C3246089,2427744,ANIMALS,0.025299050426488646,0.042578542866689745,0.026298147933951063,0.025319882668165553,0.033561093974965275,0.1372988087871767,0.04914430877898008,0.03558209960610538,0.052034519182846906,0.03723596816701556,0.06104924031156869,0.022812783754241346,0.02079382213220016,
3455,C3246089,2427744,COMMUNICATIONS,0.04329033437612975,0.04165543003752678,0.03381807413217105,0.036260730860925114,0.04803210852360047,0.04504068055454164,0.11168742999666018,0.053279136164717175,0.05308029257957061,0.06418234753186332,0.04553045954912319,0.024804561647478983,0.036251665786076456,
3456,C3246089,2427744,POP_CULTURE,0.03120158272980995,0.058859071094815446,0.030322167460177293,0.027773492129971926,0.03665385176212393,0.03478609979840389,0.05106292150626351,0.01907505344848967,0.08495047485908767,0.03800361722784442,0.029319225555599012,0.015573207707338572,0.01838291479672797,
3457,C3246766,2428348,ANIMALS,0.07393800457968056,0.08348385544974876,0.06325223318574323,0.04546790734907706,0.09002724791076921,0.1942874537194324,0.07976855356896095,0.04910851858029194,0.09255070171903163,0.08249230665458021,0.09482890952195827,0.05926805661603616,0.0548518651623917,
3458,C3246766,2428348,COMMUNICATIONS,0.05159560320104262,0.07149835744667377,0.05887556350540048,0.06009191029476942,0.06713234959728404,0.07235988560632275,0.15598918946600462,0.05075097811032788,0.0854359696183545,0.07134468919543814,0.06410536685218668,0.05990851672964878,0.06481785958813589,
