no,username,testId,topic,Summer Break,Self Recommnedation,Social media,LANGUAGE ARTS,EDUCATION,ENVIRONMENT,POP_CULTURE,HEALTH
169,C2164997,1450446,Summer Break,0.1695208927,0.08991024905,0.08567479528,0.07349427281,0.07085258406,0.07026714935,0.05749408291,0.04734878723
170,C2164997,1450446,Self Recommnedation,0.09170371445,0.1651952606,0.09948527019,0.09390575208,0.09718649443,0.08156757129,0.05881727929,0.05345098363
171,C2164997,1450446,Social media,0.08183415886,0.0759438528,0.1194559722,0.06388804974,0.06564309614,0.0581301751,0.04605870669,0.03445384601
172,C2178148,1463302,Summer Break,0.1346704114,0.05838961858,0.05509414177,0.05568303999,0.05362910684,0.04844713486,0.04546045648,0.03445088413
173,C2178148,1463302,Self Recommnedation,0.1090507766,0.2207904518,0.08453054351,0.08298376052,0.08642256077,0.0779485957,0.04751168487,0.04167417006
174,C2178148,1463302,Social media,0.0731538286,0.05481445221,0.1257384031,0.06037219638,0.05244394601,0.05259110456,0.0414607014,0.02809611473
175,C2186918,1471938,Summer Break,0.217345415,0.1210558321,0.1267554181,0.1150815532,0.1063103688,0.09931362191,0.08138541211,0.06941577906
176,C2186918,1471938,Self Recommnedation,0.1133041778,0.1791110844,0.0954531327,0.09932029443,0.08618663715,0.08155619045,0.05890700081,0.05181770364
177,C2186918,1471938,Social media,0.1181343233,0.09460456057,0.1744988179,0.08978252113,0.07822692242,0.07933100392,0.05180710435,0.05424515069
178,C2191208,1476135,Summer Break,0.1630772111,0.08420738652,0.08230492423,0.08324342501,0.076020564,0.07992037039,0.05778143909,0.05814159484
179,C2191208,1476135,Self Recommnedation,0.1104824128,0.1600413208,0.1068633944,0.1040237289,0.09473334879,0.09368745847,0.06195546389,0.06423633455
180,C2191208,1476135,Social media,0.1034887346,0.1002968894,0.1916431053,0.1238619718,0.1123702494,0.1130639761,0.07754464454,0.06927270322
181,C2209743,1494097,Summer Break,0.1838270775,0.09243847237,0.09984378279,0.08709141234,0.08494386027,0.08043132129,0.06299348722,0.05238455895
182,C2209743,1494097,Self Recommnedation,0.1163849377,0.1885438935,0.09645196401,0.0920997407,0.09344666859,0.08956405536,0.06046149157,0.05266033951
183,C2209743,1494097,Social media,0.09374455777,0.09043569523,0.2211295166,0.1069946899,0.100429577,0.09698383577,0.06596002241,0.05453106763
184,C2234133,1516621,Summer Break,0.1423922369,0.05270304254,0.04595113798,0.0538576834,0.03793449055,0.04841172789,0.03633142553,0.02496792383
185,C2234133,1516621,Self Recommnedation,0.08359869716,0.1504836179,0.05527272321,0.04731765491,0.04522630698,0.05709289988,0.02942203483,0.02190075639
186,C2234133,1516621,Social media,0.04940679762,0.03767531441,0.08266141396,0.02656051459,0.02463781572,0.03350786268,0.01670659086,0.01645446622
187,C2237026,1519465,Summer Break,0.1604692059,0.096794442,0.09644189593,0.08966358903,0.07532015143,0.07866758351,0.06228475334,0.05039299009
