no,testId,topic,distIMF,distIMM,distISE,distINE,maxSim,predicted,expected,distIMF-pos,distIMM-pos,distISE-pos,distINE-pos
982,2076984,POP_CULTURE,0.06632225,0.08957701,0.06314545,0.01020413,0.08957701,I-MM,I-MM,0.53584067,0.5466242,0.53716086,0.2088416
983,2076984,THEATER,0.05446924,0.06130043,0.08215226,0.00860936,0.08215226,I-SE,I-SE,0.65146621,0.63121308,0.62422304,0.22090341
984,2076984,TRAVEL,0.09045077,0.12526344,0.09641575,0.01638241,0.12526344,I-MM,I-MM,0.38536597,0.40570758,0.40536148,0.16304038
985,2095811,ANIMALS,0.12045422,0.14621235,0.20688975,0.02729746,0.20688975,I-SE,I-SE,0.43410024,0.44278975,0.44324667,0.16532085
986,2095811,COMMUNICATIONS,0.09948626,0.11230405,0.16185689,0.03259155,0.16185689,I-SE,I-SE,0.38780834,0.3965766,0.41245216,0.25636115
987,2095811,POP_CULTURE,0.10319077,0.11414308,0.16305606,0.01773301,0.16305606,I-SE,I-SE,0.47781775,0.48457341,0.48682828,0.19261759
988,2101639,POP_CULTURE,0.11763342,0.09093576,0.06808678,0.01135412,0.11763342,I-MF,I-MF,0.48797142,0.46802967,0.44720673,0.20285996
989,2101639,ANIMALS,0.19755538,0.14020859,0.10759186,0.02202129,0.19755538,I-MF,I-MF,0.73834225,0.70468002,0.68039176,0.26924874
990,2101639,COMMUNICATIONS,0.15165034,0.1156148,0.09466334,0.01715499,0.15165034,I-MF,I-MF,0.67083179,0.64733863,0.62726017,0.27360036
991,2106639,POP_CULTURE,0.12844905,0.11699334,0.09476155,0.01579217,0.12844905,I-MF,I-MF,0.61702993,0.61298063,0.60489133,0.26869919
992,2106639,THEATER,0.17186855,0.14614039,0.13614065,0.02787871,0.17186855,I-MF,I-MF,0.71290516,0.71273542,0.71042049,0.34469379
993,2106639,TRAVEL,0.15651317,0.13232266,0.11378307,0.01892451,0.15651317,I-MF,I-MF,0.6613904,0.65278655,0.64059365,0.24776901
994,2107357,POP_CULTURE,0.06404315,0.07280302,0.11210518,0.01580634,0.11210518,I-SE,I-SE,0.34368825,0.35270173,0.37579949,0.2021483
995,2107357,THEATER,0.07697758,0.10539643,0.13600949,0.01989364,0.13600949,I-SE,I-SE,0.32033958,0.3430384,0.3576347,0.18885285
996,2107357,TRAVEL,0.08677523,0.0914082,0.11854989,0.04131394,0.11854989,I-SE,I-SE,0.42976113,0.4318257,0.44302509,0.17868048
997,2125986,POP_CULTURE,0.19345306,0.17112539,0.14931701,0.02335862,0.19345306,I-MF,I-MF,0.67612939,0.66984861,0.66160252,0.31040579
998,2125986,THEATER,0.16120115,0.13971898,0.11369708,0.0215249,0.16120115,I-MF,I-MF,0.65090573,0.64756565,0.63666563,0.3216784
999,2125986,TRAVEL,0.17671115,0.15335519,0.13050462,0.02919494,0.17671115,I-MF,I-MF,0.72689646,0.71902163,0.70376326,0.29658808
1000,2143114,THEATER,0.18468841,0.12996326,0.10288402,0.01503459,0.18468841,I-MF,I-MF,0.73560707,0.70446677,0.67412693,0.26451655
1001,2143114,TRAVEL,0.18252764,0.13126091,0.09797091,0.01738986,0.18252764,I-MF,I-MF,0.71107392,0.68581921,0.66521887,0.27067701
1002,2143114,POP_CULTURE,0.16171093,0.12387794,0.09571611,0.01659002,0.16171093,I-MF,I-MF,0.5649318,0.54500971,0.51483553,0.20212978
1003,2143178,TRAVEL,0.14286696,0.10956882,0.08971433,0.01499131,0.14286696,I-MF,I-MF,0.66024846,0.64479138,0.62956389,0.24088276
1004,2143178,POP_CULTURE,0.1308752,0.08746157,0.07893715,0.01181729,0.1308752,I-MF,I-MF,0.55109364,0.55546026,0.55460526,0.33948027
1005,2143178,THEATER,0.16878645,0.13378494,0.1128367,0.01704255,0.16878645,I-MF,I-MF,0.71560633,0.6982343,0.67591536,0.27777705
1006,2178216,ANIMALS,0.11524057,0.10496293,0.0774423,0.01615282,0.11524057,I-MF,I-MF,0.52456796,0.52169556,0.50564775,0.20430802
1007,2178216,COMMUNICATIONS,0.15025386,0.13090845,0.11572796,0.01883904,0.15025386,I-MF,I-MF,0.66518846,0.65478688,0.64597541,0.25558564
1008,2178216,POP_CULTURE,0.0945031,0.07810277,0.04293731,0.00662012,0.0945031,I-MF,I-MF,0.61664057,0.61176568,0.59597236,0.25185855
1009,2181007,POP_CULTURE,0.04717989,0.08219363,0.05373784,0.00924055,0.08219363,I-MM,I-MM,0.32745075,0.36093398,0.37541101,0.37697061
1010,2181007,THEATER,0.08709122,0.12725896,0.08549557,0.01776877,0.12725896,I-MM,I-MM,0.43627093,0.46616698,0.4702068,0.27599144
1011,2181007,TRAVEL,0.05308003,0.05750744,0.09858501,0.01195588,0.09858501,I-SE,I-SE,0.29802141,0.32416012,0.3563778,0.26273668
1012,2185251,POP_CULTURE,0.10919243,0.15073882,0.11944635,0.02811505,0.15073882,I-MM,I-MM,0.48177971,0.509749,0.52418571,0.38351599
1013,2185251,THEATER,0.09848636,0.14188659,0.1198909,0.02030244,0.14188659,I-MM,I-MM,0.42774511,0.45869253,0.47310546,0.22589775
1014,2185251,TRAVEL,0.09787646,0.13416462,0.10169625,0.02522586,0.13416462,I-MM,I-MM,0.4596499,0.47004162,0.46491842,0.20928359
1015,2278357,ANIMALS,0.09809862,0.06358746,0.04652514,0.00711793,0.09809862,I-MF,I-MF,0.51990007,0.4972197,0.47574169,0.18261081
1016,2278357,COMMUNICATIONS,0.08121298,0.06968276,0.03027781,0.00519205,0.08121298,I-MF,I-MM,0.36251657,0.35374025,0.33546988,0.15224055
1017,2278357,POP_CULTURE,0.06917418,0.05028092,0.0368567,0.00747281,0.06917418,I-MF,I-MF,0.45357084,0.43573389,0.40535463,0.17145703
1018,2292163,COMMUNICATIONS,0.08952597,0.10209238,0.06553823,0.01187649,0.10209238,I-MM,I-MM,0.42867028,0.43088327,0.42023411,0.1818473
1019,2292163,POP_CULTURE,0.12210917,0.09137854,0.07417771,0.0169578,0.12210917,I-MF,I-MF,0.59004999,0.58241437,0.56328613,0.2763119
1020,2292163,ANIMALS,0.09970968,0.12421759,0.08766446,0.01812491,0.12421759,I-MM,I-MM,0.46729042,0.47578027,0.46087512,0.24236254
1021,2320042,ANIMALS,0.11988566,0.12863462,0.07482976,0.01959682,0.12863462,I-MM,I-MM,0.4442091,0.44416804,0.42122978,0.25054278
1022,2320042,COMMUNICATIONS,0.09016476,0.10645435,0.06877417,0.01205127,0.10645435,I-MM,I-MM,0.42819897,0.4311869,0.41847447,0.18048937
1023,2320042,POP_CULTURE,0.13137601,0.15555153,0.09871306,0.01961293,0.15555153,I-MM,I-MM,0.50979926,0.49615804,0.47461564,0.19417999
1024,2324908,ANIMALS,0.12445787,0.09538658,0.07209759,0.01201061,0.12445787,I-MF,I-MF,0.58127735,0.56430933,0.54598394,0.24889924
1025,2324908,COMMUNICATIONS,0.13025189,0.1071971,0.09305181,0.01363731,0.13025189,I-MF,I-MF,0.58125033,0.57467978,0.55405845,0.25598708
1026,2324908,DIRECTIONS,0.09678674,0.06901763,0.06138579,0.00854726,0.09678674,I-MF,I-MF,0.46262361,0.44672415,0.4199379,0.17520838
1027,2377791,POP_CULTURE,0.14586566,0.11110491,0.08926899,0.01659629,0.14586566,I-MF,I-MF,0.68325109,0.65644086,0.62859782,0.2558361
1028,2377791,THEATER,0.15383589,0.1138234,0.0860193,0.02270811,0.15383589,I-MF,I-MF,0.62074224,0.60137302,0.58586826,0.25055101
1029,2377791,TRAVEL,0.18457112,0.12302838,0.09651045,0.0161079,0.18457112,I-MF,I-MF,0.68593801,0.65762103,0.63070013,0.26123846
1030,2380600,POP_CULTURE,0.19282386,0.1686633,0.14836927,0.02475129,0.19282386,I-MF,I-MF,0.72527487,0.72705506,0.71644851,0.41958321
1031,2380600,ANIMALS,0.14905583,0.12865161,0.10731818,0.01924774,0.14905583,I-MF,I-MF,0.67947899,0.68379344,0.68464232,0.35143203
1032,2380600,COMMUNICATIONS,0.18395466,0.15240632,0.13535566,0.0213126,0.18395466,I-MF,I-MF,0.74760907,0.73997204,0.72579562,0.32214346
