no,username,testId,topic,About Me,Things To Do,Best Friend,Wishlist,School Supplies,CITY_TOWN,WEATHER,FAMILY,CELEBRATIONS,
2421,V3182460,2370687,WEATHER,0.06436213015378164,0.05236208610444254,0.04469147482647133,0.02235927698875241,0.020765764451559306,0.06748603796167285,0.08662118375616991,0.08909037640151593,0.06238492562677628,
2422,V3182460,2370687,FAMILY,0.06334663724245869,0.05460711405716989,0.034555513271452044,0.024553649797391098,0.022105400454306465,0.04122464411878416,0.04620335999056317,0.10049241839706606,0.07005870556747051,
2423,V3191346,2378446,WEATHER,0.06485562320569235,0.07122330690657623,0.03808850269617254,0.025143297512810105,0.022209257849742498,0.07506103016272059,0.14254859495542566,0.043514740427072776,0.05721447518559977,
2424,V3191346,2378446,CELEBRATIONS,0.06535629226307162,0.051483484548049005,0.051293557058908645,0.018165001868918174,0.00950474082424196,0.05943864912661351,0.08303947316753016,0.0822405150882883,0.11962223081713347,
2425,V3191346,2378446,CITY_TOWN,0.030842884922479573,0.026425626546830623,0.025715988038081564,0.01956205595095727,0.0227886355418041,0.09104836931402734,0.05361237972236722,0.03314587323683763,0.03379364569697977,
2426,V3206205,2391661,CELEBRATIONS,0.08538336882179541,0.06839907798331396,0.0600403683780418,0.0342617160192167,0.03710487419172899,0.11557773354644017,0.12957422700512772,0.10080188674295519,0.19250277246590924,
2427,V3206205,2391661,CITY_TOWN,0.08951299231326935,0.057882325947113046,0.0753963380240046,0.03263695861942146,0.044236883511651705,0.19677164134391598,0.10567951018388873,0.0900988826679238,0.09008795996924938,
2428,V3206205,2391661,WEATHER,0.10765353115576487,0.0878468353462811,0.06804406234061845,0.03498342319201006,0.04006577352952237,0.1399413947434452,0.1972962992384763,0.10628991341969499,0.10473833847263647,
2429,V3206383,2391838,CELEBRATIONS,0.06378555987941853,0.04140321265292499,0.06195466179521899,0.028468351325225592,0.028500812920243517,0.08833478941123235,0.1001901226167034,0.07190761321428948,0.1309098552187195,
2430,V3206383,2391838,CITY_TOWN,0.02572033271000476,0.04079471490497309,0.0219377885609996,0.013611071849987059,0.028885145277593623,0.08873377356542604,0.05840029277849927,0.0217921292437944,0.04511033065432102,
2431,V3206383,2391838,WEATHER,0.10449157196484893,0.09142804621389307,0.0655634890157049,0.03070185214875841,0.028104124056323274,0.10390310309542565,0.1769207382487445,0.07556116025508441,0.10064494031689428,
2432,V3209114,2394282,CITY_TOWN,0.027822980606536225,0.04999769990170747,0.02527816076813174,0.01150959299292912,0.009658450160211152,0.06185812146367608,0.03717888565114209,0.026594535682578628,0.03106294767455082,
2433,V3209114,2394282,WEATHER,0.04566418164736909,0.0479450358288402,0.037226123608353714,0.024980875138793067,0.02921963271855952,0.08992910424242084,0.17275693508466172,0.0399267397820593,0.06363092474930564,
2434,V3209114,2394282,FAMILY,0.08277989504014815,0.05300646861164505,0.03786411065315313,0.03613810259973147,0.04599660184582045,0.09286722862509109,0.0703847767319645,0.12787620718837958,0.05102643106876277,
2435,V3221182,2405255,WEATHER,0.09964666437552963,0.13648579724555482,0.05262733328727781,0.030117004220759094,0.016312861473729998,0.08342884987879129,0.17544776506920345,0.039038228763673744,0.06435245629419754,
2436,V3221182,2405255,CITY_TOWN,0.021526308120815688,0.020535766910639706,0.015006849638511654,0.006825063061097059,0.000997448465550064,0.03508355878002488,0.015695435199260817,0.02229381590387418,0.01957979735082062,
2437,V3221182,2405255,FAMILY,0.15814916402246518,0.05358201103073061,0.0906708104703257,0.06688071241815854,0.041905252708794825,0.0853394834959659,0.07461834984361727,0.21377840642739598,0.08721496336329303,
